MMDD,Date,O3_iodine/ppbv,O3_iodine_stdv/ppbv,O3_no_iodine/ppbv,O3_no_iodine_stdv/ppbv,O3_diff/%
101,1/1/1999,598.37,133.73,636.55,137.25,-6
102,2/1/1999,604.38,109.26,642.29,138.7,-5.9
103,3/1/1999,602.69,105.95,639.22,130.19,-5.71
104,4/1/1999,611.59,109.92,649.2,127.78,-5.79
105,5/1/1999,609.5,114.75,647.57,122.23,-5.88
106,6/1/1999,605.97,110.07,642.79,116.31,-5.73
107,7/1/1999,604.74,104.07,641.9,111.41,-5.79
108,8/1/1999,605.76,105.98,642.8,109.61,-5.76
109,9/1/1999,612.39,106.88,650.31,109.38,-5.83
110,10/1/1999,608.84,107.74,646.6,110.38,-5.84
111,11/1/1999,609.56,107.56,647.36,110.26,-5.84
112,12/1/1999,610.36,106.13,648.22,108.83,-5.84
113,13/1/1999,611.73,103.94,649.64,106.59,-5.83
114,14/1/1999,612.57,101.21,650.51,103.8,-5.83
115,15/1/1999,612.38,98.39,650.32,100.88,-5.83
116,16/1/1999,612.4,94.8,650.28,97.06,-5.82
117,17/1/1999,612.29,92.59,650.12,94.74,-5.82
118,18/1/1999,612.5,90.46,650.3,92.56,-5.81
119,19/1/1999,613.5,87.03,651.36,89.03,-5.81
120,20/1/1999,613.13,83.57,650.98,85.43,-5.81
121,21/1/1999,612.56,82,650.36,83.81,-5.81
122,22/1/1999,612.72,80.69,650.49,82.44,-5.81
123,23/1/1999,613.67,80.63,651.45,82.46,-5.8
124,24/1/1999,615.08,80.77,652.85,82.63,-5.79
125,25/1/1999,616.41,80.07,654.21,81.93,-5.78
126,26/1/1999,617.09,79.33,654.94,81.1,-5.78
127,27/1/1999,617.71,79.31,655.55,80.97,-5.77
128,28/1/1999,618.41,79.64,656.27,81.19,-5.77
129,29/1/1999,619.79,79.96,657.71,81.46,-5.77
130,30/1/1999,620.98,79.15,658.9,80.59,-5.76
131,31/1/1999,621.09,77.4,659.01,78.78,-5.75
201,1/2/1999,620.87,75.68,658.75,76.95,-5.75
202,2/2/1999,620.19,73.37,657.98,74.53,-5.74
203,3/2/1999,620.18,71.56,657.9,72.75,-5.73
204,4/2/1999,621,70.61,658.71,71.89,-5.73
205,5/2/1999,620.05,69.95,657.7,71.29,-5.72
206,6/2/1999,618.95,68.79,656.54,70.15,-5.73
207,7/2/1999,619.52,67.57,657.15,68.85,-5.73
208,8/2/1999,620.94,68.34,658.62,69.49,-5.72
209,9/2/1999,621.71,69.74,659.36,70.89,-5.71
210,10/2/1999,622.51,69.32,660.09,70.53,-5.69
211,11/2/1999,624.53,69.46,662.15,70.69,-5.68
212,12/2/1999,625.83,69.99,663.49,71.18,-5.68
213,13/2/1999,626.3,69.84,663.94,70.93,-5.67
214,14/2/1999,627.27,69.54,664.94,70.63,-5.67
215,15/2/1999,628.1,68.57,665.84,69.68,-5.67
216,16/2/1999,628.13,68.25,665.93,69.38,-5.68
217,17/2/1999,628.54,68.51,666.32,69.64,-5.67
218,18/2/1999,629.35,67.94,667.11,68.99,-5.66
219,19/2/1999,628.87,67.41,666.55,68.45,-5.65
220,20/2/1999,628.39,67.71,666.01,68.88,-5.65
221,21/2/1999,628.49,66.12,666.11,67.27,-5.65
222,22/2/1999,627.72,63.89,665.25,65.03,-5.64
223,23/2/1999,627.77,63.61,665.22,64.8,-5.63
224,24/2/1999,628.95,63.31,666.34,64.45,-5.61
225,25/2/1999,630.09,63.04,667.42,64.14,-5.59
226,26/2/1999,631.44,63.01,668.78,64.17,-5.58
227,27/2/1999,632.01,62.42,669.35,63.61,-5.58
228,28/2/1999,632.94,63.1,670.29,64.4,-5.57
301,1/3/1999,634.1,64.83,671.44,66.35,-5.56
302,2/3/1999,635.11,65.4,672.42,66.99,-5.55
303,3/3/1999,635.16,62.85,672.4,64.24,-5.54
304,4/3/1999,634.54,60.71,671.66,61.88,-5.53
305,5/3/1999,635.78,59.76,672.93,60.82,-5.52
306,6/3/1999,638.32,58.29,675.58,59.14,-5.52
307,7/3/1999,641.26,57.97,678.73,58.71,-5.52
308,8/3/1999,644.03,59.82,681.61,60.64,-5.51
309,9/3/1999,645.51,59.3,683.08,60.25,-5.5
310,10/3/1999,646.84,58.94,684.44,59.95,-5.49
311,11/3/1999,647.63,61.01,685.29,62.11,-5.5
312,12/3/1999,647.78,62.33,685.33,63.49,-5.48
313,13/3/1999,647.07,60.29,684.47,61.33,-5.46
314,14/3/1999,644.53,57.51,681.74,58.33,-5.46
315,15/3/1999,645.74,57.5,683.04,58.22,-5.46
316,16/3/1999,647.94,57.63,685.29,58.45,-5.45
317,17/3/1999,648.75,56.47,686.07,57.39,-5.44
318,18/3/1999,648.52,56.97,685.84,58.07,-5.44
319,19/3/1999,648.84,57.99,686.19,59.08,-5.44
320,20/3/1999,646.88,56.37,684.06,57.42,-5.44
321,21/3/1999,643.66,53.22,680.64,54.07,-5.43
322,22/3/1999,643.64,54.44,680.52,55.15,-5.42
323,23/3/1999,647.09,56.31,684,56.96,-5.4
324,24/3/1999,649.03,57.27,685.91,57.95,-5.38
325,25/3/1999,650.34,60.35,687.3,61.25,-5.38
326,26/3/1999,652.04,61.5,689.13,62.42,-5.38
327,27/3/1999,651.89,58.21,689,59.03,-5.39
328,28/3/1999,650.65,53.3,687.59,54.13,-5.37
329,29/3/1999,650.69,52.62,687.54,53.61,-5.36
330,30/3/1999,650.24,54.6,687.01,55.61,-5.35
331,31/3/1999,650.42,56.67,687.18,57.65,-5.35
401,1/4/1999,652.31,56.98,689.14,58.04,-5.34
402,2/4/1999,653.49,56.99,690.29,58.22,-5.33
403,3/4/1999,655.01,57.83,691.83,59.12,-5.32
404,4/4/1999,657.7,56.62,694.69,57.81,-5.32
405,5/4/1999,658.78,55.99,695.92,56.92,-5.34
406,6/4/1999,659.22,56.68,696.44,57.38,-5.34
407,7/4/1999,656.94,56.89,694.08,57.55,-5.35
408,8/4/1999,655.88,58.44,692.9,59.13,-5.34
409,9/4/1999,654.75,57.41,691.64,58.12,-5.33
410,10/4/1999,652,55.91,688.76,56.6,-5.34
411,11/4/1999,652.32,56.69,689.08,57.46,-5.33
412,12/4/1999,652.59,57.33,689.24,58.14,-5.32
413,13/4/1999,648.95,59.24,685.39,60.08,-5.32
414,14/4/1999,644.88,58.75,681.17,59.51,-5.33
415,15/4/1999,642.3,56.3,678.45,57.02,-5.33
416,16/4/1999,643.24,56.19,679.43,57.17,-5.33
417,17/4/1999,644.29,58.08,680.51,59,-5.32
418,18/4/1999,643.92,57.82,680.05,58.64,-5.31
419,19/4/1999,648.5,56.2,684.79,57.07,-5.3
420,20/4/1999,653.49,59.44,689.92,60.52,-5.28
421,21/4/1999,650.8,58.67,687.19,59.91,-5.3
422,22/4/1999,649.22,55.31,685.55,56.5,-5.3
423,23/4/1999,648.69,52.98,684.92,54.12,-5.29
424,24/4/1999,646.27,54.96,682.35,55.95,-5.29
425,25/4/1999,641.13,61.09,676.9,62.18,-5.28
426,26/4/1999,637.59,64.08,673.24,65.13,-5.3
427,27/4/1999,635,65.09,670.54,66.02,-5.3
428,28/4/1999,632.83,65.62,668.3,66.61,-5.31
429,29/4/1999,628.99,65.84,664.33,67.06,-5.32
430,30/4/1999,625.81,62.21,661.1,63.39,-5.34
501,1/5/1999,624.14,59.64,659.44,60.94,-5.35
502,2/5/1999,624.33,57.05,659.63,58.25,-5.35
503,3/5/1999,625.26,58.66,660.49,59.68,-5.33
504,4/5/1999,626.46,61.16,661.65,62.05,-5.32
505,5/5/1999,630.31,65.73,665.42,66.61,-5.28
506,6/5/1999,631.49,69.02,666.55,70.03,-5.26
507,7/5/1999,628.95,69.22,663.9,70.45,-5.26
508,8/5/1999,629.25,66.42,664.12,67.55,-5.25
509,9/5/1999,628.38,63.45,663.28,64.37,-5.26
510,10/5/1999,625.09,63.21,659.88,64.12,-5.27
511,11/5/1999,623.69,65.93,658.37,66.94,-5.27
512,12/5/1999,624.3,67.61,658.97,68.65,-5.26
513,13/5/1999,625.03,62.52,659.6,63.43,-5.24
514,14/5/1999,621.11,57.15,655.44,57.88,-5.24
515,15/5/1999,615.1,53.98,649.19,54.55,-5.25
516,16/5/1999,609.78,54.09,643.65,54.86,-5.26
517,17/5/1999,614.27,52.82,648.24,53.5,-5.24
518,18/5/1999,620.93,52.53,654.94,53.29,-5.19
519,19/5/1999,622.17,56.17,656.22,56.95,-5.19
520,20/5/1999,619.49,56.19,653.44,56.86,-5.2
521,21/5/1999,616.31,50.74,650.1,51.57,-5.2
522,22/5/1999,619.73,52.32,653.61,53.24,-5.18
523,23/5/1999,622.74,54.96,656.68,55.8,-5.17
524,24/5/1999,619.41,56.42,653.32,57.18,-5.19
